Age,Training_Hours_Per_Week,Performance_Score,Gender,Calories_Required,Height,Weight,Training_Complexity_Range
21,20,6.74,Male,2559,161,93,High
29,11,8.03,Female,1845,154,99,Medium
23,8,1.61,Female,2238,181,98,Medium
18,13,3.15,Female,1819,183,75,Low
25,5,6.59,Male,1520,154,99,Medium
44,24,8.91,Male,1813,164,56,Medium
43,19,6.83,Female,2278,158,61,High
30,12,6.76,Male,3007,164,74,Medium
27,17,5.62,Female,1817,165,68,Low
32,15,8.72,Female,1681,161,50,High
25,28,6.38,Male,1787,174,76,Low
39,5,8.8,Female,2331,167,50,Medium
26,15,5.3,Female,3091,170,73,Low
21,14,1.94,Female,2318,173,79,Low
24,10,3.9,Female,2265,176,85,High
45,23,5.96,Male,2010,183,62,High
33,12,3.35,Male,3335,165,59,Low
28,18,6.59,Female,3136,178,79,High
41,6,6.28,Female,1543,175,90,Medium
23,22,3.83,Female,2685,177,88,Medium
39,22,5.32,Female,2612,169,58,Medium
20,21,8.1,Male,3343,174,68,Low
35,14,3.89,Male,1852,178,86,High
35,21,6.75,Male,2225,164,79,Medium
44,25,7.65,Male,3081,153,96,Low
25,8,2.83,Male,3227,158,52,Low
20,29,9.2,Female,2246,152,54,Medium
41,21,9.96,Female,2531,175,57,High
35,17,2.16,Female,2015,153,82,High
33,15,7.33,Male,1768,190,93,Medium
28,20,9.54,Female,1630,159,85,High
34,14,7.2,Female,1537,180,56,High
41,15,2.09,Male,2609,184,88,Low
34,25,2.2,Female,3496,163,67,Medium
18,22,8.06,Female,1610,157,64,Medium
36,14,1.13,Female,3361,159,99,High
20,25,9.58,Female,1651,174,61,Low
25,21,4.47,Male,1738,154,91,Low
28,16,7.71,Female,3316,181,77,Medium
44,23,1.53,Male,1859,177,68,Medium
40,13,1.45,Female,2564,185,88,High
21,26,2.93,Male,1813,176,55,Low
34,15,6.11,Female,2695,152,55,High
31,18,2.65,Female,2056,182,77,Medium
24,11,3.92,Male,3486,156,94,Medium
40,14,4.11,Female,2887,157,95,High
24,16,8.95,Female,1871,159,76,Low
26,9,9.28,Female,2494,176,87,High
29,12,5.05,Male,2512,165,60,Low
37,17,9.9,Female,3335,155,54,Medium
42,29,1.25,Male,2083,165,83,Low
33,21,1.56,Female,2518,175,100,Medium
42,17,1.51,Female,1933,158,64,High
45,9,2.79,Female,2016,154,98,High
31,25,4.9,Male,2247,161,65,Medium
29,22,1.59,Male,3434,183,84,Low
39,10,4.43,Female,3414,157,91,Low
20,13,3.51,Male,1508,151,63,Low
34,7,8.86,Female,2657,185,63,Low
25,24,7.12,Male,2060,183,92,High
34,19,4.87,Female,3297,151,85,High
43,14,1.71,Female,2621,160,56,Medium
36,6,5.12,Female,2721,166,59,Medium
40,16,6.96,Female,2431,158,97,High
24,24,6.5,Male,1801,162,78,Medium
41,28,9,Female,3058,166,61,High
18,5,9.83,Male,3132,181,92,High
40,30,3.18,Male,2408,179,64,High
33,14,1.48,Female,3481,166,65,Low
40,12,5.57,Male,2482,182,52,Medium
26,25,2.07,Female,2372,182,82,High
28,21,5.67,Female,2497,167,62,High
39,7,1.71,Male,3419,186,98,High
30,26,2.99,Male,1906,163,73,Low
29,24,1.08,Male,2391,188,92,Medium
42,16,1.53,Male,1707,156,94,High
21,20,4.11,Male,2462,183,52,High
25,15,2.91,Female,2732,155,93,Low
37,29,1.88,Male,3096,180,86,Low
34,18,7.11,Male,1893,167,50,Medium
35,9,8.18,Female,2171,184,52,Low
30,19,5.71,Female,1967,183,90,High
39,20,2.14,Male,1925,168,76,Medium
31,19,5.29,Female,3446,184,84,Low
41,29,2.06,Male,3367,153,64,High
32,30,9.87,Male,1991,182,92,Medium
30,23,3.87,Female,2390,151,56,Medium
25,26,4.29,Female,2784,155,100,High
20,23,5.49,Female,1532,158,53,Medium
39,13,7.42,Male,2518,170,62,Medium
25,9,3.98,Female,3158,172,67,Low
42,13,2.76,Male,3144,156,57,High
31,9,8.45,Female,2022,188,91,Medium
43,10,3.21,Female,2337,159,61,Medium
35,26,8.98,Male,1534,189,66,Low
19,30,8.99,Female,2120,160,81,Medium
23,6,7.8,Male,2520,171,71,Medium
43,14,9.57,Male,2275,163,51,High
31,14,9.85,Female,2631,162,63,High
25,29,7.28,Female,2511,165,89,Low
28,26,4.06,Male,1782,164,73,Low
18,8,8.06,Female,2715,158,66,Medium
19,22,6.47,Male,2200,158,54,High
38,24,9.7,Female,2753,180,75,Low
43,15,3.72,Female,2035,179,83,Medium
40,10,1.42,Female,2311,178,63,Medium
44,29,3.6,Female,3317,158,65,Medium
34,18,6.86,Female,1531,172,57,High
38,22,4.78,Male,2748,165,98,Low
21,8,3.81,Female,2593,176,74,High
26,15,7.57,Male,2439,156,51,Low
34,23,6.45,Male,2289,150,82,Low
19,14,1.38,Female,1520,180,87,Medium
35,7,5.89,Male,1554,167,54,Low
38,29,8.05,Male,3485,174,80,Low
25,8,9.04,Male,2449,165,70,High
20,17,3.87,Male,2540,176,55,Low
33,9,3.63,Male,1888,176,75,High
37,18,5.9,Female,1861,169,74,High
31,28,7.85,Male,2165,178,81,Low
45,24,6.85,Female,2091,156,51,Low
27,15,8.54,Male,3104,164,70,Low
20,27,7.94,Female,1757,160,91,Medium
19,19,6.96,Male,2504,174,72,Low
45,12,4.85,Female,2854,166,52,Low
34,24,7.09,Male,3482,151,50,Medium
24,13,2.5,Female,1709,167,58,High
31,5,8.01,Female,2443,189,79,High
29,28,5.31,Female,2783,188,70,Medium
23,22,7.21,Male,3187,171,83,Medium
45,10,6.94,Female,3021,173,96,High
41,22,5.08,Female,2864,184,52,High
42,9,1.96,Female,3152,184,72,Low
36,23,1.02,Female,1506,157,84,High
32,13,2.45,Male,1612,166,74,Low
29,18,6.12,Female,3057,162,96,Low
37,22,9.91,Male,2739,188,54,High
33,7,8.38,Female,1674,173,98,Medium
39,7,4.89,Male,1862,164,93,Medium
37,9,4.31,Female,2455,155,79,Low
37,10,4.75,Female,2057,188,97,High
26,8,1.82,Female,3379,181,77,Low
30,24,2.71,Male,1547,169,65,Medium
21,17,5.18,Female,2086,182,88,Low
43,13,6.1,Male,1504,181,86,Low
25,30,7.81,Male,2794,176,55,Medium
32,25,7.79,Male,2238,176,73,Medium
31,9,3.54,Male,2066,151,73,High
35,10,4.35,Male,2309,189,67,Medium
27,8,4.27,Female,1982,187,79,High
19,8,8.71,Male,2441,180,85,Medium
45,8,5.2,Male,2536,175,77,High
35,17,1.22,Female,3321,168,95,Low
42,16,3.73,Female,3133,184,98,Medium
25,26,8.26,Male,3140,165,71,Medium
26,20,9.79,Male,3150,180,59,Medium
33,8,4.82,Male,1515,157,98,Low
41,16,4.42,Male,3014,152,64,Medium
22,19,4.41,Female,2319,161,80,Low
43,26,9.14,Female,3280,176,95,Medium
22,7,5.04,Male,2549,180,54,High
24,18,9.13,Female,3168,154,73,Low
26,12,8.99,Female,3315,188,56,Low
33,8,6.5,Male,2792,188,90,Low
24,20,7.13,Female,1918,161,94,Low
27,20,4.72,Male,2255,182,66,High
42,6,6.8,Female,3418,185,57,Medium
23,23,1.78,Male,1618,161,96,Medium
45,7,7.19,Male,2495,178,59,Medium
33,27,7.42,Male,3382,164,88,High
35,20,2.72,Male,3097,186,69,High
45,5,4.43,Female,1518,183,69,High
20,15,8.66,Female,2696,176,76,Medium
24,13,8.23,Male,2998,163,60,Medium
25,13,1.31,Male,1895,162,65,High
32,14,8.25,Male,2108,155,68,Low
42,26,2.18,Male,1562,179,77,Medium
39,29,4.14,Female,1564,153,90,Low
39,22,9.63,Male,1629,181,87,High
18,19,4.15,Male,2219,153,97,High
34,29,3.7,Female,3314,154,92,Low
26,13,7.33,Male,2168,181,93,Low
37,13,9.47,Male,2854,179,84,Low
32,15,4.32,Female,3405,189,75,High
18,20,4.5,Female,2794,161,84,Low
35,15,2.3,Male,3346,158,57,Medium
34,29,5.22,Female,2866,163,77,Low
37,14,9.47,Female,1624,161,64,Low
33,23,5.86,Female,3481,160,56,Low
34,8,4.94,Female,2724,173,53,Low
30,14,8.06,Male,3043,176,96,Low
31,25,2.9,Female,2075,190,63,High
20,19,3.12,Male,2645,180,57,High
41,13,7.12,Male,3482,153,88,Low
39,21,4.49,Female,3259,156,83,Low
18,10,8.14,Male,2104,164,61,Low
29,8,4.49,Male,1626,187,53,High
32,14,4.68,Male,2334,180,83,Low
34,28,2.34,Male,3328,178,57,High
37,26,7.98,Female,2807,166,63,Medium
26,24,6.17,Female,2933,168,56,High
33,11,9.47,Female,2243,169,57,High
28,26,7.34,Female,2176,190,85,High
42,23,9.38,Female,2179,158,84,Medium
30,12,4.27,Male,1697,173,78,High
27,28,9.02,Female,1611,168,82,Medium
41,8,7.92,Male,1566,173,71,Low
44,11,4.23,Male,3170,177,59,Low
39,10,5.2,Male,3121,152,93,High
18,11,6.97,Female,3108,180,79,High
30,17,7.25,Female,2095,154,51,Low
41,15,7.09,Male,2988,175,76,Medium
19,17,3.86,Female,1807,155,77,Medium
35,27,8.79,Male,1512,154,65,High
24,9,1.25,Female,1980,185,83,High
18,20,9.75,Male,2350,163,56,Low
35,13,2.99,Female,2925,163,67,High
45,20,3.41,Female,2788,173,59,High
37,13,3.57,Female,1585,170,78,Medium
37,7,6.98,Male,1823,178,55,Low
43,12,2.16,Female,2790,153,53,Low
44,10,5.12,Male,1916,156,89,Medium
18,9,6.53,Male,1754,170,52,Low
39,18,6.22,Female,1599,153,79,Medium
42,26,7.68,Female,3419,151,53,High
26,26,8.91,Female,3175,185,51,Low
21,19,5.09,Female,2034,180,54,High
31,25,5.45,Female,2986,178,60,Medium
27,24,9.19,Female,3092,155,92,Medium
29,15,4.64,Female,2807,153,71,Low
31,16,9.58,Female,2402,170,60,High
44,23,2.11,Male,2674,181,99,Low
30,25,8.11,Male,2861,177,64,High
33,8,8.07,Female,3307,188,94,Medium
32,11,2.35,Male,2183,162,100,High
35,22,3.84,Male,2346,175,85,High
23,24,8.39,Male,3363,182,90,Low
34,20,1.71,Female,1971,174,98,Low
23,20,6.15,Female,1831,184,100,Medium
22,19,3.4,Male,1808,184,51,Low
33,24,7.69,Female,3218,174,66,Medium
27,17,4.78,Female,3493,183,54,High
36,25,2.18,Male,2848,178,76,Low
23,23,9.28,Female,2662,162,66,Low
26,10,3.31,Male,2808,154,75,High
22,21,4.72,Female,1825,170,58,High
43,26,8.57,Male,2812,153,58,Low
30,28,5.12,Female,1732,178,73,Low
43,7,5.96,Male,1975,176,92,Medium
39,28,4.72,Male,2998,164,52,Medium
30,7,6.7,Male,3381,179,79,Low
41,6,5.95,Female,2294,175,84,Low
37,11,8.33,Female,3226,163,60,High
43,13,4.66,Female,2903,189,53,High
33,13,8.27,Male,2203,185,84,High
43,7,8.48,Male,1991,175,56,Medium
25,14,1.55,Male,2748,182,61,Medium
26,17,9.33,Male,1917,169,73,Medium
39,29,9.61,Female,3456,167,95,Medium
32,23,7.77,Male,1572,171,65,High
26,26,5.36,Female,2888,162,52,High
25,26,5.59,Female,3341,171,65,High
19,5,4.86,Male,1977,160,70,High
34,22,1.16,Female,1801,174,72,Low
24,6,9.93,Female,3108,157,70,High
28,22,7.42,Female,3235,150,62,High
37,17,9.07,Male,3459,160,62,Low
20,14,5.82,Male,2905,181,84,High
33,27,6.7,Male,2754,162,95,Medium
34,25,6.52,Male,3213,164,84,Low
29,11,1.35,Male,1583,166,84,Low
45,29,2,Female,1786,174,59,High
43,29,9.93,Female,2524,153,87,High
25,10,1.54,Male,3405,156,78,Low
29,27,4.57,Female,1984,157,84,High
20,27,7.88,Male,3265,163,56,Medium
40,9,1.29,Male,2645,167,54,Medium
27,20,4.03,Male,3243,154,78,High
29,30,5.44,Male,2466,181,93,Medium
29,8,3.37,Female,2331,180,99,High
22,13,3.92,Female,2167,163,79,High
45,29,7.82,Male,1694,172,53,Low
42,25,2.18,Male,2633,165,68,Low
26,12,5.14,Male,2853,185,67,Low
28,10,9.07,Male,2696,152,71,Low
41,26,4.64,Female,1684,175,88,Low
40,20,3.39,Male,3491,171,79,Medium
38,15,6.29,Female,3460,164,69,High
32,14,4.85,Male,2036,154,64,Low
23,24,6.55,Male,2637,187,94,Medium
20,8,9.54,Male,2765,187,56,High
38,17,6.46,Female,1654,170,83,High
43,22,6.91,Female,2177,172,88,Medium
28,23,2.77,Female,3377,167,78,Medium
26,23,6.69,Male,1782,163,55,High
32,6,2.56,Male,1739,157,67,High
40,7,1.24,Male,2839,177,68,Medium
38,6,4.07,Female,3245,157,80,Medium
27,5,8.54,Female,2725,164,60,Medium
25,18,7.32,Female,3353,182,85,Low
36,23,9.43,Female,3006,164,53,Low
27,17,8.51,Male,2427,161,57,Medium
26,24,7.95,Female,3450,172,69,Medium
45,19,9.91,Female,3480,152,86,High
45,23,7.56,Male,3138,175,94,Medium
39,5,4.4,Male,2904,190,75,Medium
32,27,8.52,Male,1746,183,59,Low
39,10,8.37,Male,2851,175,61,Low
42,24,3.44,Male,3327,190,87,Medium
40,29,9.28,Female,1841,167,88,Medium
30,29,4.79,Male,2470,162,55,High
18,11,1.12,Male,2505,178,78,Low
27,23,5.32,Female,3147,186,92,High
29,28,9.22,Male,2462,179,59,Medium
41,15,8.42,Male,2834,159,85,High
39,8,5.5,Male,2632,156,84,Medium
28,17,2.59,Female,2512,169,70,High
40,16,7.67,Male,2217,178,58,Low
25,17,2.59,Female,1752,175,74,High
45,8,9.49,Male,1985,152,64,High
29,14,2.54,Male,1928,168,60,Low
18,19,6.63,Female,2673,164,57,Low
21,18,5.26,Male,2496,167,81,High
39,13,5.21,Male,2993,185,76,Medium
43,11,3.61,Male,2634,156,95,Low
45,6,7.6,Female,1982,167,62,Medium
34,26,4.29,Female,2411,176,76,Low
27,29,6.33,Female,2327,160,95,Medium
40,6,8.68,Female,1994,177,77,High
45,18,8.64,Female,2540,173,87,Medium
19,9,8.13,Male,2127,168,68,Medium
44,8,8.64,Male,2558,158,95,Medium
37,14,3.56,Male,2337,167,63,Medium
34,6,8.02,Female,2283,166,87,Medium
21,28,1.87,Male,2741,187,57,High
44,24,3.67,Female,2637,167,57,High
43,11,9.97,Male,2596,182,69,Low
39,25,1.12,Male,2501,161,88,Low
36,10,3.35,Female,1660,189,65,Medium
20,13,9.42,Female,1653,163,97,Medium
32,7,9.96,Male,1697,160,61,Medium
38,7,3.82,Female,2007,186,100,Low
23,20,8.07,Male,1978,156,94,Low
34,26,9.85,Female,1852,162,60,Medium
25,15,2.08,Male,1971,167,76,Low
22,24,8.34,Female,1530,172,73,High
24,6,9.27,Female,2004,170,66,Low
31,12,6.24,Male,3257,176,53,Medium
45,12,9.41,Female,1799,151,60,Medium
39,20,7.21,Female,1731,175,89,High
21,14,8.71,Male,3390,155,72,High
25,14,4.43,Female,3222,155,94,Low
39,25,6.12,Male,2642,154,75,Low
25,15,1.84,Female,1995,162,77,Low
21,28,9.56,Female,2945,157,53,Low
45,26,9.02,Female,2079,157,91,Low
27,14,1.88,Male,2486,161,55,Medium
34,20,4.22,Male,3065,167,52,Medium
34,7,7.32,Female,1890,180,71,Medium
25,25,4.19,Male,2613,162,76,High
19,24,8.07,Female,2292,190,69,Low
35,14,8.66,Female,2200,153,67,Low
26,11,3.98,Male,3143,163,78,High
43,8,6.43,Male,2174,175,97,Medium
33,17,2.17,Male,2393,153,71,Low
32,13,9.1,Male,1730,162,67,Medium
41,14,3.64,Female,3305,156,74,High
30,29,6,Female,1611,159,82,Medium
39,19,9.84,Female,2244,167,85,Low
27,25,3.93,Female,1866,184,57,Medium
21,13,9.89,Female,1936,176,86,Low
45,26,8.96,Male,2145,165,50,High
34,18,5.2,Female,1789,153,61,Medium
38,9,5.41,Female,1955,184,65,Low
32,28,6.85,Male,3043,162,71,Low
41,29,4.58,Female,3158,155,86,Low
36,22,2.95,Female,2198,182,66,Low
22,23,6.95,Female,2592,182,94,Medium
18,27,4.62,Male,2701,168,59,Medium
40,9,7.03,Female,3182,183,91,Medium
25,6,1.91,Male,1601,162,59,Low
32,20,7.85,Female,2780,150,55,Medium
25,27,1.33,Male,2453,174,52,Medium
38,17,4.74,Male,2356,165,62,High
24,5,1.67,Female,1696,171,91,Low
32,28,5.34,Male,2404,176,76,High
40,14,6.63,Male,3442,175,53,Low
30,18,9.98,Male,2401,172,83,Medium
28,23,4.34,Male,2596,183,96,Medium
27,22,4.7,Female,2965,186,54,Medium
32,22,9.51,Male,3118,173,60,Low
37,14,1.68,Female,1533,184,60,High
28,9,6.26,Female,3429,170,63,Low
41,8,4.42,Female,2350,177,71,High
30,13,6.44,Female,1628,177,93,High
22,13,3.35,Male,2080,168,58,Low
37,13,7.61,Female,2933,151,81,Low
23,12,7.19,Male,1695,180,67,High
37,16,4.9,Male,1702,180,90,Low
43,22,2.63,Male,3405,161,89,Medium
45,24,4.77,Male,3477,175,97,Medium
42,14,5.68,Male,1858,180,89,Medium
28,17,1.74,Male,2736,184,97,Low
37,12,8.95,Male,2247,167,60,Low
20,24,6.45,Male,3377,174,50,High
34,27,2.9,Male,2653,152,63,High
31,30,4.13,Female,2836,176,56,Medium
40,18,5.22,Female,1926,157,71,High
45,29,2.39,Female,3412,164,71,Medium
18,8,8.51,Male,2500,160,90,Low
27,21,6.03,Male,3215,180,65,High
43,19,9.15,Female,2368,163,89,High
18,26,1.53,Female,2748,168,91,Low
45,15,1.41,Female,1905,188,56,Medium
27,11,3.39,Male,1829,175,91,Medium
25,30,6.02,Female,1702,185,73,High
40,20,6.56,Female,2109,175,99,Medium
33,9,7.03,Female,2408,177,60,High
44,29,8.18,Female,3469,169,62,Medium
39,17,8.89,Male,3070,172,74,Low
26,23,8.71,Male,2919,178,67,Low
25,10,3.83,Female,3359,175,70,High
22,28,5.81,Male,1659,178,92,High
24,26,4.7,Female,2886,188,81,Medium
43,13,2.97,Male,2970,158,67,Medium
23,6,4.08,Male,3378,188,64,Medium
20,30,4.09,Male,2931,166,78,Low
40,26,6.08,Male,2359,172,67,High
40,23,6.74,Female,1898,164,92,Medium
30,29,9.25,Female,2498,167,52,High
26,12,7.42,Female,2040,176,99,Medium
24,11,6.71,Female,1905,177,79,High
25,13,9.53,Female,1578,171,51,High
19,24,4.93,Male,2647,190,88,Low
27,21,6.05,Male,1827,182,72,Medium
32,22,5.75,Female,3335,179,72,Medium
33,27,8.77,Female,1915,154,82,Low
33,10,2.57,Male,2988,168,90,High
30,7,8.9,Female,2104,154,62,High
43,7,4.63,Male,2212,154,98,High
45,26,4.62,Male,1508,161,74,Low
39,9,3.91,Female,1848,172,69,High
41,21,1.27,Female,1619,174,75,Low
31,16,7.01,Male,2548,182,75,High
44,28,6.87,Male,2236,160,54,Medium
28,10,2.11,Male,2526,160,57,Medium
32,19,5.47,Male,1817,186,88,Medium
42,17,3.83,Male,3098,186,66,Medium
19,28,9.16,Female,2855,160,89,High
31,10,6.7,Female,2476,163,86,High
34,10,5.97,Male,2117,164,75,Medium
45,12,4.53,Male,2661,159,59,Low
37,11,6.23,Male,2907,152,78,Low
18,20,6.42,Female,2607,158,58,Low
28,29,2.74,Female,3222,152,61,Low
19,29,1.13,Female,1550,179,71,Low
29,9,6.17,Male,2992,165,65,Medium
21,5,9.6,Female,2053,177,71,Low
45,13,6.35,Male,2634,169,74,High
36,6,8.64,Male,2430,170,87,Low
